Brand,User_Age,Daily_Usage_(in_minutes)
Lenovo,40,107
Lenovo,33,15
Apple,61,186
Nokia,11,129
Vivo,33,97
Lenovo,11,243
Nokia,51,38
OnePlus,14,142
Honor,16,79
Lenovo,33,123
LG,86,287
Lenovo,36,169
Nokia,42,91
Xioami,49,66
Motorola,78,139
Lenovo,46,165
Apple,60,147
LG,36,159
Apple,38,247
Apple,33,-6
LG,52,193
Motorola,39,124
Nokia,33,124
RealMe,61,30
LYF,22,272
Lenovo,16,33
RealMe,30,27
Vivo,22,65
Samsung,66,247
Samsung,31,135
RealMe,40,111
Lenovo,52,114
Xioami,32,78
Honor,36,147
Nokia,37,60
Motorola,65,-70
LG,25,229
Samsung,51,207
Honor,31,74
Honor,58,219
OnePlus,28,95
Nokia,44,128
Nokia,37,14
Apple,55,90
Motorola,38,74
OnePlus,50,123
Apple,29,147
Motorola,50,104
Xioami,24,196
Nokia,38,220
Vivo,26,168
Oppo,36,151
LYF,22,77
LYF,51,184
LG,38,32
Lenovo,19,114
Oppo,22,247
Xioami,42,303
LG,24,130
Xioami,22,133
Oppo,27,129
RealMe,52,168
RealMe,43,126
Honor,41,160
RealMe,45,50
LYF,23,202
LG,49,143
Oppo,46,185
LG,60,258
Lenovo,57,69
Apple,43,259
Xioami,13,126
Vivo,42,178
Honor,36,164
Apple,31,146
LG,36,115
RealMe,27,80
Samsung,62,70
Lenovo,24,122
Xioami,60,151
Motorola,40,280
Oppo,34,65
Samsung,12,155
Xioami,11,45
Motorola,34,232
Samsung,43,106
Lenovo,46,122
Lenovo,13,78
Motorola,19,112
Samsung,21,127
Nokia,15,-37
Nokia,29,6
Vivo,39,78
Nokia,41,68
LYF,31,59
LYF,39,-9
Lenovo,18,309
Xioami,33,75
OnePlus,15,142
Vivo,39,60
LYF,61,113
Honor,64,174
RealMe,52,68
LYF,35,162
Motorola,40,120
Apple,34,58
RealMe,17,252
Motorola,36,206
Apple,32,163
LYF,27,158
Vivo,28,128
OnePlus,40,224
Oppo,30,18
RealMe,42,120
LYF,42,207
RealMe,39,9
Oppo,50,2
Motorola,20,103
Honor,25,90
Nokia,45,195
Lenovo,19,224
Nokia,43,118
LG,15,223
LG,32,2
Nokia,45,19
Oppo,28,54
Motorola,41,141
RealMe,54,-27
Vivo,54,224
Motorola,10,123
Vivo,41,142
Oppo,34,70
Xioami,27,114
Apple,44,80
Samsung,15,145
Samsung,34,212
Samsung,36,193
Xioami,32,51
Lenovo,39,80
Nokia,17,136
OnePlus,25,150
Motorola,36,91
LYF,11,84
Oppo,32,79
Honor,46,96
Samsung,18,86
Apple,24,220
Samsung,34,42
RealMe,49,232
OnePlus,11,123
LG,29,-10
OnePlus,40,142
Honor,10,145
RealMe,38,246
LYF,42,190
Oppo,26,52
LG,30,45
Apple,34,184
Lenovo,63,113
Apple,22,155
Apple,48,50
LG,20,-73
Oppo,43,221
Nokia,36,117
Apple,33,167
Nokia,34,74
Apple,61,152
Vivo,54,0
Apple,44,77
Xioami,21,64
Xioami,88,65
Oppo,32,82
Samsung,72,227
Honor,49,70
Samsung,50,56
Lenovo,49,104
Motorola,28,0
Lenovo,23,161
OnePlus,23,112
Apple,47,123
Motorola,41,269
Motorola,19,140
Xioami,27,110
RealMe,46,132
Vivo,32,114
Motorola,42,122
OnePlus,32,0
LYF,32,136
Nokia,26,-9
Lenovo,18,92
Oppo,59,-41
RealMe,39,89
Lenovo,15,168
Apple,41,-3
Nokia,41,-57
OnePlus,33,59
Samsung,16,97
OnePlus,69,122
Oppo,25,185
OnePlus,38,162
Lenovo,22,96
Nokia,13,-11
Apple,70,117
LG,42,51
OnePlus,44,88
Motorola,26,203
RealMe,39,-21
Vivo,58,219
Apple,52,77
OnePlus,14,29
LYF,28,150
LG,37,-30
LG,31,101
Motorola,36,77
Apple,34,80
Oppo,32,102
Motorola,24,242
RealMe,48,40
LYF,26,50
Oppo,51,176
LYF,75,33
Lenovo,57,10
Vivo,31,205
Samsung,13,101
Samsung,48,138
Apple,24,179
Oppo,52,128
Oppo,27,6
Xioami,40,73
Lenovo,43,111
Nokia,43,118
Lenovo,34,270
Samsung,27,33
Apple,49,87
Motorola,22,56
Apple,60,39
Oppo,26,18
Oppo,34,99
Honor,37,-29
Samsung,38,229
Vivo,36,53
Oppo,45,23
LYF,36,110
Vivo,33,164
Xioami,26,93
Oppo,46,130
LG,48,118
Oppo,47,158
RealMe,22,187
Apple,16,6
Apple,40,216
Apple,36,47
Vivo,29,83
OnePlus,21,128
Lenovo,64,64
LYF,43,126
Lenovo,23,107
OnePlus,30,116
Lenovo,28,10
Samsung,28,57
Motorola,38,161
Oppo,38,173
Nokia,15,147
Xioami,22,-23
Apple,62,-7
RealMe,37,201
Xioami,21,86
LYF,33,201
Apple,32,35
Apple,23,228
RealMe,30,70
Oppo,38,103
LG,17,149
RealMe,34,138
Honor,29,-102
Honor,48,141
Vivo,45,15
LYF,21,-33
Nokia,56,75
RealMe,20,5
Apple,25,172
LG,48,122
OnePlus,56,103
OnePlus,16,174
Motorola,19,52
OnePlus,18,90
Lenovo,18,197
Lenovo,17,197
Nokia,56,70
Honor,47,249
LYF,33,264
Nokia,59,291
Samsung,35,202
LYF,25,231
RealMe,80,61
LG,27,-9
Apple,20,79
Vivo,23,115
RealMe,38,229
RealMe,30,104
LG,35,109
Honor,39,98
OnePlus,31,54
Lenovo,54,38
Nokia,31,72
Apple,26,129
Apple,30,160
LG,25,135
Nokia,30,177
Vivo,32,77
LYF,40,91
Vivo,32,93
Honor,32,195
Xioami,18,30
Apple,28,110
Lenovo,14,106
LG,51,97
LYF,16,263
Apple,48,222
Xioami,52,125
Apple,17,275
Vivo,25,3
RealMe,21,102
Lenovo,43,130
Motorola,21,195
LYF,19,256
Apple,50,88
OnePlus,69,56
Honor,18,96
Apple,24,107
Vivo,11,306
Nokia,30,223
Samsung,36,38
Lenovo,50,-20
Motorola,37,181
OnePlus,34,155
Apple,29,35
Lenovo,32,104
Honor,54,1
Oppo,17,139
Lenovo,46,227
Oppo,19,57
Nokia,52,128
Vivo,33,85
Vivo,38,35
RealMe,84,134
Xioami,17,74
Xioami,35,243
Motorola,32,51
Motorola,44,136
LYF,29,45
RealMe,48,167
Vivo,27,99
Motorola,41,116
RealMe,39,147
Oppo,39,38
LYF,40,104
RealMe,18,206
Motorola,31,73
LYF,39,-10
Lenovo,42,223
Samsung,36,168
RealMe,43,177
Nokia,43,267
Samsung,31,106
Vivo,63,163
LG,30,74
LG,58,173
Vivo,26,-2
Lenovo,36,216
Honor,55,3
RealMe,27,176
Oppo,24,104
Honor,39,62
Nokia,78,200
Samsung,30,112
LYF,39,-31
Oppo,17,208
Oppo,18,211
Apple,18,161
Honor,46,362
Honor,25,55
OnePlus,47,66
Oppo,30,140
Apple,48,281
Xioami,30,145
Oppo,30,160
Honor,40,60
Oppo,34,93
Xioami,31,56
Samsung,13,221
RealMe,32,100
Vivo,28,103
LYF,29,-47
Vivo,28,198
Motorola,23,189
Honor,48,64
Oppo,24,20
Samsung,62,113
Vivo,38,225
Lenovo,29,179
Nokia,43,163
Samsung,58,8
LYF,24,8
RealMe,10,126
RealMe,30,67
Apple,38,169
Xioami,26,261
Xioami,35,188
Samsung,45,172
Nokia,18,240
Lenovo,63,176
Motorola,29,121
Vivo,45,61
Nokia,33,232
Apple,29,-39
Apple,46,94
Samsung,18,124
Lenovo,30,175
OnePlus,23,262
Motorola,45,77
Apple,53,160
LG,40,261
OnePlus,46,66
Oppo,52,-59
LG,19,215
Lenovo,23,136
Honor,40,94
Samsung,52,144
Lenovo,36,251
Apple,46,165
Apple,41,71
Lenovo,56,147
Nokia,28,134
RealMe,71,133
Honor,47,-83
Motorola,57,154
Motorola,58,165
Oppo,24,153
Apple,40,101
Xioami,27,100
LYF,16,288
Motorola,24,117
Samsung,20,41
Lenovo,44,128
OnePlus,34,48
Motorola,39,55
LG,17,131
Samsung,18,167
RealMe,43,44
Samsung,43,181
LG,29,39
LG,29,127
Lenovo,27,44
Motorola,35,184
LYF,43,211
LG,30,133
LYF,37,50
Xioami,27,154
Nokia,24,104
Vivo,30,94
OnePlus,22,167
Nokia,60,21
OnePlus,38,53
Motorola,79,83
Xioami,16,175
Nokia,37,9
Motorola,17,78
OnePlus,19,-83
RealMe,10,142
OnePlus,27,156
OnePlus,43,69
Vivo,27,41
Lenovo,28,178
LG,32,90
Lenovo,14,141
Lenovo,31,318
LYF,15,148
Nokia,32,132
Nokia,39,181
Apple,22,78
Nokia,29,79
Vivo,13,86
LYF,19,114
LYF,15,-33
Xioami,16,179
Nokia,51,10
LYF,11,160
LYF,26,153
Oppo,56,20
Vivo,53,98
LG,26,7
Samsung,33,153
Lenovo,32,114
Lenovo,36,44
Motorola,51,74
RealMe,41,120
Motorola,28,67
RealMe,40,153
Lenovo,27,-27
RealMe,15,7
Oppo,53,134
Nokia,33,126
Nokia,35,76
Nokia,19,184
Oppo,21,138
Lenovo,19,163
LG,36,150
Nokia,31,213
Oppo,44,241
LYF,19,156
Lenovo,37,75
LG,43,3
Vivo,41,-163
LYF,25,79
Nokia,41,130
Vivo,35,133
Honor,31,99
Lenovo,22,10
Xioami,36,218
OnePlus,30,159
RealMe,28,13
RealMe,23,165
Apple,49,175
Oppo,67,145
Motorola,15,77
Nokia,50,11
Honor,45,118
Vivo,34,184
OnePlus,42,123
Lenovo,40,198
Motorola,20,142
LYF,19,162
Samsung,35,199
Xioami,25,111
Nokia,40,201
Honor,43,109
Vivo,23,22
LYF,32,253
LYF,53,-16
Apple,31,169
Lenovo,39,99
LYF,15,267
Honor,22,158
Samsung,56,74
LG,25,153
OnePlus,14,35
RealMe,55,140
Lenovo,41,121
Xioami,45,66
Samsung,18,199
LG,19,113
Motorola,29,95
Xioami,17,82
Samsung,16,-40
Honor,20,186
Lenovo,15,176
Lenovo,55,142
Samsung,22,188
LG,37,12
Oppo,20,151
Motorola,29,162
LG,39,108
Oppo,13,216
RealMe,28,113
Motorola,35,164
Apple,36,94
Honor,14,224
Oppo,30,152
LYF,30,125
LG,31,114
LG,22,120
OnePlus,35,46
Vivo,22,59
Nokia,26,85
Samsung,22,102
LG,28,119
RealMe,38,63
Oppo,42,229
Samsung,85,234
OnePlus,18,-25
Oppo,12,97
Oppo,34,42
Lenovo,47,88
Samsung,30,211
Honor,26,14
OnePlus,48,89
Xioami,36,11
LYF,32,6
LG,29,73
LYF,41,132
Xioami,21,185
LYF,39,102
Oppo,20,180
Samsung,36,179
Honor,44,137
Samsung,29,164
RealMe,39,208
Xioami,18,48
Honor,55,90
Vivo,41,276
Vivo,23,160
OnePlus,51,147
RealMe,52,17
Honor,61,123
RealMe,59,138
Apple,18,108
OnePlus,22,24
Apple,43,113
LYF,46,132
Nokia,39,75
Honor,28,164
LYF,37,129
Vivo,48,37
Oppo,24,39
Motorola,33,81
Xioami,59,87
Nokia,48,81
Motorola,58,147
Nokia,39,109
Oppo,26,133
Samsung,11,200
Motorola,51,209
Motorola,50,266
Motorola,17,63
LG,37,36
RealMe,37,46
Motorola,39,177
Vivo,35,14
Motorola,35,207
LYF,28,261
Nokia,28,159
Oppo,31,-21
Samsung,52,67
Nokia,44,134
LG,33,94
Honor,38,84
Apple,23,56
Oppo,36,224
RealMe,18,80
Xioami,28,117
Samsung,58,139
Honor,24,263
Motorola,41,23
LYF,40,166
Honor,35,155
Vivo,45,119
Nokia,31,139
Nokia,32,27
LG,29,149
Xioami,35,-69
Apple,19,46
OnePlus,24,102
Nokia,37,-17
Xioami,14,156
Vivo,41,110
RealMe,53,46
Samsung,51,64
RealMe,38,151
Xioami,47,170
Oppo,38,74
LYF,23,-91
Apple,37,181
Samsung,53,37
LG,44,72
Apple,53,21
LG,68,216
Honor,37,-2
OnePlus,22,5
Samsung,17,110
Vivo,33,225
Motorola,14,92
Vivo,23,111
Nokia,20,98
Vivo,44,85
LG,47,109
Honor,14,204
Apple,41,126
Honor,39,5
Xioami,62,132
Apple,32,100
Xioami,37,44
Vivo,40,-24
OnePlus,29,40
OnePlus,67,95
OnePlus,60,212
Xioami,34,159
Lenovo,32,8
Xioami,42,128
Honor,46,-49
Apple,36,135
Oppo,16,116
RealMe,60,115
Apple,47,106
LG,36,97
LYF,48,152
LYF,40,-75
Honor,39,198
OnePlus,41,177
Xioami,38,194
LG,22,52
Nokia,48,41
LG,12,42
OnePlus,30,204
LG,39,134
Oppo,26,164
Apple,38,161
Nokia,36,110
Motorola,17,185
Motorola,60,98
Oppo,50,106
Xioami,18,176
Oppo,43,149
Vivo,28,-59
LG,46,68
Lenovo,22,173
Oppo,40,78
Vivo,17,146
Nokia,20,44
LG,15,43
Vivo,42,17
LYF,41,131
Motorola,38,60
Vivo,20,270
Xioami,23,144
Motorola,41,163
Motorola,46,117
Honor,54,270
Vivo,44,131
Xioami,18,64
Samsung,65,30
Samsung,44,130
LG,26,-7
OnePlus,76,78
Samsung,50,98
Oppo,42,128
Apple,54,-2
Oppo,49,211
Nokia,15,130
LG,18,137
Apple,23,61
RealMe,19,167
Oppo,37,24
Samsung,20,6
Apple,40,121
Samsung,37,155
Lenovo,41,125
LG,27,67
RealMe,40,-6
OnePlus,49,123
LG,64,135
Apple,15,51
RealMe,53,90
LG,49,137
LG,50,11
Apple,24,153
Lenovo,39,49
Nokia,59,157
Nokia,44,85
Oppo,35,-18
Vivo,30,185
Xioami,45,47
Apple,36,46
Vivo,46,153
LG,18,114
LG,43,79
Lenovo,37,48
RealMe,18,241
Motorola,46,204
Oppo,39,-65
Oppo,39,83
Vivo,15,100
RealMe,22,128
Xioami,30,-29
Lenovo,46,-32
Xioami,32,120
OnePlus,47,6
Nokia,41,69
Vivo,39,51
OnePlus,40,131
Lenovo,18,265
Apple,27,9
Xioami,61,66
Apple,28,-110
RealMe,32,71
RealMe,32,26
LG,53,199
OnePlus,57,88
Lenovo,11,131
Apple,27,236
Oppo,42,94
RealMe,30,60
Lenovo,49,75
RealMe,37,84
OnePlus,25,81
Apple,45,149
Motorola,49,106
Vivo,39,190
Motorola,29,-17
Motorola,40,115
Vivo,28,89
LYF,51,-7
Honor,27,72
Samsung,65,234
Motorola,59,206
Nokia,15,189
Honor,85,-24
Oppo,35,147
Vivo,21,126
Vivo,40,222
Nokia,44,-14
OnePlus,37,127
Apple,48,234
Apple,32,94
Motorola,33,68
OnePlus,40,234
LG,28,202
Vivo,20,44
Xioami,47,40
LYF,29,-27
Motorola,12,81
Lenovo,48,11
Samsung,10,-13
LYF,19,214
LYF,35,41
LYF,67,62
Motorola,41,38
OnePlus,22,-59
OnePlus,45,-43
OnePlus,54,176
OnePlus,33,174
Samsung,38,30
Samsung,42,154
Nokia,40,132
Apple,35,133
OnePlus,21,145
Apple,28,247
OnePlus,47,47
Vivo,34,12
Lenovo,13,189
Samsung,35,88
Lenovo,47,185
Samsung,37,260
Apple,18,97
Vivo,49,103
Samsung,35,54
LYF,17,-7
Oppo,27,210
Samsung,26,70
Lenovo,23,260
Nokia,32,121
Xioami,20,148
Oppo,38,113
Samsung,24,163
OnePlus,36,137
OnePlus,22,186
RealMe,40,152
Motorola,38,121
Honor,31,67
Samsung,39,157
Vivo,75,216
OnePlus,31,123
Apple,47,109
RealMe,19,161
Nokia,36,54
OnePlus,49,148
LYF,44,109
Apple,23,-22
Samsung,58,65
Samsung,64,118
Motorola,35,50
OnePlus,48,79
LYF,48,125
Motorola,50,140
Vivo,36,34
Honor,36,105
OnePlus,33,181
Apple,46,66
Vivo,30,4
RealMe,22,141
Oppo,19,32
Xioami,52,158
Samsung,19,139
RealMe,55,154
Honor,43,88
Apple,49,151
Oppo,31,158
Samsung,55,99
LYF,48,143
Apple,39,-75
Oppo,54,140
Honor,43,227
Lenovo,57,220
Oppo,51,118
Nokia,26,111
Xioami,32,63
Nokia,25,-38
Nokia,59,33
Apple,36,97
Vivo,16,205
Vivo,30,-67
LYF,11,45
Nokia,33,54
RealMe,40,-12
RealMe,21,-41
Motorola,25,90
OnePlus,39,159
LYF,20,149
RealMe,10,170
LG,33,129
Samsung,31,169
Xioami,12,53
LG,54,130
LG,36,48
Nokia,26,143
Apple,44,134
RealMe,23,214
Motorola,11,111
RealMe,23,219
LYF,56,118
Oppo,25,0
Vivo,48,-18
Xioami,16,143
Vivo,20,123
Vivo,27,92
Motorola,23,98
LYF,37,141
Oppo,31,-22
LG,43,52
Samsung,39,149
LG,14,176
LG,25,54
Motorola,26,62
Nokia,64,144
Motorola,24,167
Oppo,11,106
RealMe,52,231
Honor,27,154
Vivo,24,374
RealMe,43,193
Apple,18,55
Oppo,40,72
LYF,34,42
OnePlus,45,103
RealMe,65,158
Samsung,33,149
Vivo,50,168
Motorola,33,98
Honor,21,167
OnePlus,59,122
Oppo,63,118
Apple,33,87
LG,21,176
LG,64,8
Vivo,32,288
Honor,39,211
Vivo,57,186
LYF,21,117
Vivo,52,229
Motorola,64,162
OnePlus,30,-16
Vivo,45,-9
Honor,51,63
LYF,30,67
Vivo,29,3
Nokia,67,27
Oppo,34,247
OnePlus,49,51
Vivo,48,75
Motorola,42,169
Apple,60,115
OnePlus,58,11
Oppo,24,106
Nokia,29,88
Samsung,30,129
OnePlus,18,160
Oppo,42,162
LYF,31,305
Oppo,23,77
Oppo,32,57
LYF,48,181
Lenovo,27,217
OnePlus,48,69
Motorola,42,99
Oppo,23,79
Nokia,41,121
OnePlus,36,57
OnePlus,22,65
OnePlus,25,94
Vivo,56,161
Nokia,17,58
LG,36,-12
Nokia,59,48
OnePlus,27,141
Oppo,61,110
Apple,54,2
Vivo,37,67
LYF,49,106
Lenovo,26,75
Oppo,27,183
Honor,42,36
RealMe,82,214
LG,12,258
Oppo,24,104
LYF,40,144
Samsung,20,71
RealMe,43,87
Samsung,54,13
Honor,36,161
Motorola,31,67
LYF,72,27
Lenovo,19,56
Vivo,40,323
Apple,18,232
Xioami,26,56
LYF,41,189
Lenovo,26,145
Samsung,39,153
Lenovo,36,123
Vivo,23,124
LG,55,131
Samsung,47,46
RealMe,60,151
Samsung,30,12
LG,57,218
Apple,21,53
Nokia,49,167
Lenovo,16,121
OnePlus,22,70
RealMe,39,94
Nokia,19,151
Motorola,55,212
Apple,53,118
RealMe,27,244
Vivo,39,82
Oppo,42,156
Motorola,13,80
Lenovo,13,119
LG,65,61
Apple,31,104
Oppo,41,194
Samsung,42,82
LG,32,228
Motorola,21,172
Samsung,30,159
Oppo,38,71
LYF,45,36
LYF,42,221
Apple,50,141
Oppo,24,101
OnePlus,32,368
RealMe,16,156
RealMe,40,51
LG,23,58
Honor,13,61
Honor,39,108
Honor,23,19
OnePlus,37,75
Xioami,32,283
Samsung,30,364
RealMe,36,92
Oppo,17,126
LG,36,81
Oppo,44,235
Samsung,41,66
LG,38,103
Samsung,29,166
Vivo,24,105
Honor,29,229
Motorola,27,161
Motorola,34,85
Motorola,22,105
LYF,44,4
LG,27,100
Samsung,54,179
LG,43,99
Honor,60,55
LYF,26,109
LYF,34,-58
Motorola,10,110
Xioami,42,151
Samsung,11,176
Oppo,52,244
LG,58,223
RealMe,29,19
Apple,44,129
LG,29,106
RealMe,21,124
LYF,28,200
LG,27,147
Vivo,39,146
Motorola,13,132
Lenovo,53,228
Xioami,47,65
OnePlus,22,138
Vivo,35,174
RealMe,31,142
Samsung,48,178
Samsung,48,139
Vivo,36,259
LYF,24,177
RealMe,22,87
LG,53,88
Apple,49,89
Apple,28,91
Motorola,44,240
Xioami,32,164
Motorola,37,165
Motorola,44,140
RealMe,37,-44
RealMe,31,35
LYF,19,173
Nokia,32,73
Apple,16,95
Vivo,48,-3
LYF,45,253
Apple,50,216
Samsung,45,208
Motorola,42,152
Xioami,24,193
Vivo,24,193
LYF,35,77
Honor,31,168
Nokia,22,178
Samsung,21,144
LG,59,121
Nokia,14,64
Oppo,31,73
RealMe,51,71
Vivo,28,105
Honor,29,219
Honor,13,105
OnePlus,38,147
Oppo,51,171
Samsung,57,112
RealMe,15,192
Nokia,32,152
OnePlus,21,113
Motorola,46,186
RealMe,14,84
Honor,30,47
Lenovo,45,201
LG,30,114
RealMe,30,137
LYF,39,121
LG,43,308
LG,45,136
LG,36,199
Honor,52,250
Xioami,47,2
Samsung,66,190
Xioami,29,11
Xioami,46,55
Nokia,53,128
Lenovo,43,101
Honor,26,115
Apple,44,121
RealMe,40,179
Xioami,26,254
LG,48,-4
Oppo,17,47
Xioami,29,117
Motorola,37,18
Vivo,60,121
Nokia,23,101
RealMe,79,76
Nokia,42,57
Xioami,23,120
Vivo,28,70
Vivo,13,188
LG,26,59
Motorola,25,122
Motorola,38,181
OnePlus,20,134
LG,15,204
Honor,40,95
LYF,28,97
RealMe,20,0
RealMe,18,126
Nokia,48,66
OnePlus,31,66
LG,48,193
Oppo,49,99
Oppo,43,238
Oppo,52,111
Motorola,54,46
Xioami,17,109
Honor,42,120
Honor,33,186
LG,35,17
Motorola,36,227
Honor,50,146
Samsung,19,196
LG,46,187
Samsung,56,184
OnePlus,61,126
Nokia,43,-11
Oppo,29,-32
Samsung,41,59
Lenovo,33,193
Oppo,17,-54
OnePlus,23,137
Xioami,40,126
LYF,28,111
Apple,23,179
Vivo,88,257
OnePlus,16,109
LG,41,174
RealMe,47,164
Motorola,46,158
Apple,36,78
RealMe,40,132
Xioami,37,224
Lenovo,48,131
Lenovo,50,125
Lenovo,50,38
LG,10,179
Apple,21,135
OnePlus,59,65
Motorola,61,-5
Vivo,37,36
OnePlus,26,-39
Motorola,36,75
Lenovo,31,255
LG,31,20
Motorola,31,225
OnePlus,15,111
